用例名称,Cut Size,时间(s),不平衡度(%)
dsp_7400_lut_1110000_fd_2220000,16811,9.335,0.03
1.89
dsp_8000_lut_1200000_fd_2400000,20025,12.589,0.03
1.91
dsp_9200_lut_1380000_fd_2760000,18296,11.998,0.03
1.90
k_2200,221,13.493,0.03
2.76
